1 はずれ
左2→右10→中3 ×
左4→中4→右1 ×
左4→中8→右1 ×
左4→中12→右1 ×
左4→中17→右1 ×
左4→中21→右1 ×
左4→右4→中1 ×
左4→右12→中1 ×
左4→右16→中1 ×
左4→右21→中1 ×
左5→中4→右2 ×
左5→中8→右2 ×
左5→中17→右2 ×
左5→中21→右2 ×
左8→中4→右8 ×
左8→中8→右8 ×
左8→中12→右8 ×
左8→中17→右8 ×
左8→中21→右8 ×
左10→中4→右2 ×
左10→中8→右2 ×
左10→中17→右2 ×
左10→中21→右2 ×
左12→右1→中4 ×
左12→右5→中4 ×
左12→右9→中4 ×
左12→右13→中4 ×
左12→右17→中4 ×
左13→中4→右1 ×
左13→中8→右1 ×
左13→中12→右1 ×
左13→中17→右1 ×
左13→中21→右1 ×
左15→中16→右12 ×
左16→右3→中4 ×
左16→右5→中3 ×
左16→右11→中4 ×
左16→右15→中4 ×
左16→右17→中3 ×
左16→右20→中4 ×
左19→中4→右8 ×
左19→中8→右8 ×
左19→中12→右8 ×
左19→中17→右8 ×
左19→中21→右8 ×
中1→右3→左3 ×
中1→右4→左15 ×
中1→右11→左3 ×
中1→右12→左15 ×
中1→右15→左3 ×
中1→右16→左15 ×
中1→右20→左3 ×
中1→右21→左15 ×
中4→左4→右1 ×
中4→左5→右2 ×
中4→左8→右8 ×
中4→左10→右2 ×
中4→左13→右1 ×
中4→左19→右8 ×
中4→右2→左1 ×
中4→右4→左1 ×
中4→右5→左16 ×
中4→右6→左15 ×
中4→右7→左9 ×
中4→右8→左1 ×
中4→右10→左1 ×
中4→右12→左1 ×
中4→右14→左1 ×
中4→右16→左1 ×
中4→右17→左16 ×
中4→右18→左15 ×
中4→右21→左1 ×
中4→右8 ×
中5→右3→左3 ×
中5→右4→左15 ×
中5→右11→左3 ×
中5→右12→左15 ×
中5→右15→左3 ×
中5→右16→左15 ×
中5→右20→左3 ×
中5→右21→左15 ×
中7→右1→左17 ×
中7→右4→左18 ×
中7→右5→左17 ×
中7→右8→左18 ×
中7→右9→左17 ×
中7→右12→左18 ×
中7→右13→左17 ×
中7→右16→左18 ×
中7→右17→左17 ×
中7→右21→左18 ×
中8→左4→右1 ×
中8→左5→右2 ×
中8→左8→右8 ×
中8→左10→右2 ×
中8→左13→右1 ×
中8→左19→右8 ×
中8→右2→左1 ×
中8→右4→左1 ×
中8→右5→左16 ×
中8→右6→左15 ×
中8→右7→左9 ×
中8→右8→左1 ×
中8→右10→左1 ×
中8→右12→左1 ×
中8→右14→左1 ×
中8→右16→左1 ×
中8→右17→左16 ×
中8→右18→左15 ×
中8→右21→左1 ×
中8→右8 ×
中9→右3→左3 ×
中9→右4→左15 ×
中9→右11→左3 ×
中9→右12→左15 ×
中9→右15→左3 ×
中9→右16→左15 ×
中9→右20→左3 ×
中9→右21→左15 ×
中11→右1→左17 ×
中11→右4→左18 ×
中11→右5→左17 ×
中11→右8→左18 ×
中11→右9→左17 ×
中11→右12→左18 ×
中11→右13→左17 ×
中11→右16→左18 ×
中11→右17→左17 ×
中11→右21→左18 ×
中12→左4→右1 ×
中12→左8→右8 ×
中12→左13→右1 ×
中12→左19→右8 ×
中12→右2→左1 ×
中12→右4→左1 ×
中12→右5→左16 ×
中12→右6→左15 ×
中12→右8→左1 ×
中12→右10→左1 ×
中12→右12→左1 ×
中12→右14→左1 ×
中12→右16→左1 ×
中12→右17→左16 ×
中12→右18→左15 ×
中12→右21→左1 ×
中14→右3→左3 ×
中14→右4→左15 ×
中14→右9→左13 ×
中14→右11→左3 ×
中14→右12→左15 ×
中14→右15→左3 ×
中14→右16→左15 ×
中14→右20→左3 ×
中14→右21→左15 ×
中16→左15→右12 ×
中16→右1→左17 ×
中16→右4→左18 ×
中16→右5→左17 ×
中16→右8→左18 ×
中16→右9→左17 ×
中16→右12→左18 ×
中16→右13→左17 ×
中16→右16→左18 ×
中16→右17→左17 ×
中16→右21→左18 ×
中17→左4→右1 ×
中17→左5→右2 ×
中17→左8→右8 ×
中17→左10→右2 ×
中17→左13→右1 ×
中17→左19→右8 ×
中17→右2→左1 ×
中17→右4→左1 ×
中17→右5→左16 ×
中17→右6→左15 ×
中17→右7→左9 ×
中17→右8→左1 ×
中17→右10→左1 ×
中17→右12→左1 ×
中17→右14→左1 ×
中17→右16→左1 ×
中17→右17→左16 ×
中17→右18→左15 ×
中17→右21→左1 ×
中17→右8 ×
中18→右3→左3 ×
中18→右4→左15 ×
中18→右11→左3 ×
中18→右12→左15 ×
中18→右15→左3 ×
中18→右16→左15 ×
中18→右20→左3 ×
中18→右21→左15 ×
中20→右1→左17 ×
中20→右4→左18 ×
中20→右5→左17 ×
中20→右8→左18 ×
中20→右9→左17 ×
中20→右12→左18 ×
中20→右13→左17 ×
中20→右16→左18 ×
中20→右17→左17 ×
中20→右21→左18 ×
中21→左4→右1 ×
中21→左5→右2 ×
中21→左8→右8 ×
中21→左10→右2 ×
中21→左13→右1 ×
中21→左19→右8 ×
中21→右2→左6 ×
中21→右4→左1 ×
中21→右5→左16 ×
中21→右6→左15 ×
中21→右7→左9 ×
中21→右8→左1 ×
中21→右10→左6 ×
中21→右12→左1 ×
中21→右14→左6 ×
中21→右16→左1 ×
中21→右17→左16 ×
中21→右18→左15 ×
中21→右21→左1 ×
中21→右8 ×
中1で詰みました
